Season,Name,death_prediction_probability,death_prediction,NIS introduction risk
winter,CONTROL,0.17134893265369494,False,HIGH
summer,CONTROL,0.1789311341281748,False,HIGH
winter,VENUS,0.2208664768543919,False,HIGH
summer,TOKYO,0.23308519977792966,False,HIGH
winter,VENICE,0.23313064330854927,False,HIGH
winter,ELOANE,0.27260501781509316,False,HIGH
summer,MOSCOW,0.2794986186223933,False,HIGH
winter,TOKYO,0.28041647092017896,False,HIGH
summer,ELPIDA,0.28368034260634206,False,HIGH
summer,PISCES,0.29300213179059476,False,HIGH
winter,MOSCOW,0.2980578779400812,False,HIGH
summer,BRADY,0.2983641556223828,False,HIGH
summer,CHARLESTON,0.2989268295008238,False,HIGH
summer,JADE,0.31167828065316566,False,HIGH
summer,ELOANE,0.31412704895469135,False,HIGH
winter,BRADY,0.3182431423105365,False,HIGH
winter,TINA,0.3200621489075096,False,HIGH
winter,SINGAPURA,0.32677894232349,False,HIGH
winter,GLORY,0.3286438387199694,False,HIGH
winter,PISCES,0.33103348061789656,False,HIGH
winter,ELEONORA,0.3341913033264123,False,HIGH
summer,SINGAPURA,0.34228828761703856,False,HIGH
winter,ELPIDA,0.34464245674913996,False,HIGH
summer,GLORY,0.3739636205639414,False,HIGH
winter,NEVADA,0.3946559790275632,False,HIGH
winter,MAYA,0.5253471900641502,True,LOW
summer,TINA,0.5825916481919154,True,LOW
summer,ELEONORA,0.6494210752001606,True,LOW
summer,NEVADA,0.6621728355682164,True,LOW
summer,VENICE,0.7057541634687073,True,LOW
summer,VENUS,0.910313124676033,True,LOW
summer,MAYA,0.9478975380635432,True,LOW
winter,GLOBE,1.0,True,LOW
winter,FORSTER,1.0,True,LOW
summer,ORPHEUS,1.0,True,LOW
winter,ANNA,1.0,True,LOW
summer,FORSTER,1.0,True,LOW
summer,GLOBE,1.0,True,LOW
summer,INGY,1.0,True,LOW
summer,LEANNE,1.0,True,LOW
summer,ANNA,1.0,True,LOW
winter,INGY,1.0,True,LOW
winter,ORPHEUS,1.0,True,LOW
