Season,Name,death_prediction_probability,death_prediction,NIS introduction risk
winter,CONTROL,0.0,False,HIGH
summer,CONTROL,0.010466246934310735,False,HIGH
summer,TOKYO,0.1165282801501945,False,HIGH
winter,VENUS,0.14627637112150152,False,HIGH
summer,PISCES,0.14666666666666667,False,HIGH
winter,ELOANE,0.14666666666666667,False,HIGH
summer,MOSCOW,0.14666666666666667,False,HIGH
summer,ELPIDA,0.14666666666666667,False,HIGH
winter,TOKYO,0.14666666666666667,False,HIGH
winter,VENICE,0.14666666666666667,False,HIGH
summer,BRADY,0.19606696445030966,False,HIGH
winter,MOSCOW,0.22692679799085227,False,HIGH
summer,CHARLESTON,0.2394390243012007,False,HIGH
summer,JADE,0.4064480949510741,False,HIGH
summer,ELOANE,0.4133333333333333,False,HIGH
summer,SINGAPURA,0.45898740627815243,False,HIGH
winter,BRADY,0.49333333333333335,False,HIGH
winter,TINA,0.5066666666666666,True,LOW
winter,PISCES,0.507499881933084,True,LOW
winter,GLORY,0.5083665360999337,True,LOW
winter,ELEONORA,0.5187222255279657,True,LOW
winter,SINGAPURA,0.5333333333333333,True,LOW
winter,ELPIDA,0.5719611942000443,True,LOW
summer,GLORY,0.618679690038903,True,LOW
winter,NEVADA,0.6501966978170958,True,LOW
winter,MAYA,0.688883961093793,True,LOW
summer,TINA,0.7215953182904667,True,LOW
summer,ELEONORA,0.7967420206917889,True,LOW
summer,NEVADA,0.8123374726177621,True,LOW
summer,VENICE,0.8464776062931442,True,LOW
summer,VENUS,0.9057222702670792,True,LOW
summer,MAYA,0.9681329783560875,True,LOW
winter,GLOBE,1.0,True,LOW
winter,FORSTER,1.0,True,LOW
summer,ORPHEUS,1.0,True,LOW
winter,ANNA,1.0,True,LOW
summer,FORSTER,1.0,True,LOW
summer,GLOBE,1.0,True,LOW
summer,INGY,1.0,True,LOW
summer,LEANNE,1.0,True,LOW
summer,ANNA,1.0,True,LOW
winter,INGY,1.0,True,LOW
winter,ORPHEUS,1.0,True,LOW
